"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"Granzyme B","Stanford_OSCC_Tris_10min",0.75107994734419,0.315067310876212,311467677.5,0.959776907997843,0,0,100,99.6330467603271,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Ki67","Stanford_OSCC_Tris_10min",0.925747422314867,0.0477764201449936,270850354.5,0.834616027764645,0,0,99.994121796379,99.5963514363598,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Collagen","Stanford_OSCC_Tris_10min",0.732538130065852,0.229987233668455,296053898.5,0.91227987951667,0,0,100,99.6382889494653,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD44","Stanford_OSCC_Tris_10min",0.731154074455531,0.211049138110568,284662307.5,0.877177084661959,0,0,100,99.6330467603271,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD66a","Stanford_OSCC_Tris_10min",0.79515939153267,0.0692958632589846,247710396,0.763311043573056,0,0,99.994121796379,99.659257706018,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD11c","Stanford_OSCC_Tris_10min",0.624027123222371,0.0591795460396859,196595661,0.605802750240022,1.15121140640134e-264,1.17999169156138e-264,99.988243592758,99.6959530299853,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD56","Stanford_OSCC_Tris_10min",0.698769048811285,0.219412413356177,303001834.5,0.933689704717704,0,0,100,99.6487733277417,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"HLADR","Stanford_OSCC_Tris_10min",0.576312173446244,0.0805192954224694,202436263,0.623800363903821,0,0,99.994121796379,99.6749842734326,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"SOX9","Stanford_OSCC_Tris_10min",0.625905679268348,0.276275355149372,313848560,0.96711351532255,0,0,100,99.6435311386035,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"TenascinC","Stanford_OSCC_Tris_10min",0.764944256949894,0.292930076631766,312020720,0.961481089391244,0,0,100,99.6435311386035,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
