"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"HLADRA","BIDMC_Tonsil_1",0.760671791511635,-0.0182369656837305,57302890561.0625,0.433108896108755,0,0,99.9713838390231,99.827769491302,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"pS6","BIDMC_Tonsil_1",0.773275635431205,-0.0421698663103098,40278914516.875,0.304437630144903,0,0,99.9556999815646,99.7670630440575,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD68","BIDMC_Tonsil_1",0.619376432169096,-0.0219771572988483,47675168336.625,0.360340278263475,0,0,99.9617534002328,99.8684235826693,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"FoxP3","BIDMC_Tonsil_1",0.710976316837285,-0.0639835165659083,20377863049,0.154020742824533,0,0,99.9171782264034,99.8835315220287,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"PD1","BIDMC_Tonsil_1",0.635052219127565,-0.0361874840397443,46931861670,0.35472218942537,0,0,99.8354570743828,99.5420920925045,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Pax5","BIDMC_Tonsil_1",0.774675041948581,-0.0140245583993527,60381204211.25,0.456375523915052,0,0,99.9727596159931,99.8714451705412,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"H3K27ac","BIDMC_Tonsil_1",0.84672192067985,-0.016606931702467,48950901569.375,0.36998257390957,0,0,99.9755111699332,99.8434268102745,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"GranzymeB","BIDMC_Tonsil_1",0.650221907084133,-0.0420729097228323,29048428230.5,0.219554939749499,0,0,99.9865173856936,99.9843426810274,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD31","BIDMC_Tonsil_1",0.800042104800278,-0.0064999629052046,56121803112.875,0.424181955846513,0,0,99.9612030894448,99.7983776820026,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"IDO1","BIDMC_Tonsil_1",0.756314979766127,-0.0388656428766695,24632467871.8125,0.186178059499923,0,0,99.9975236014539,99.9956049630954,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD138","BIDMC_Tonsil_1",0.758559646223894,-0.0495921360961556,28319611441.5,0.214046368857898,0,0,99.9749608591452,99.8873771793203,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"NAKATPase","BIDMC_Tonsil_1",0.865046841724352,-0.0255239419161998,33465975307,0.252943812790251,0,0,99.9796385008434,99.8176059684601,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
